,id,retweet_count,favorite_count
0,892420643555336193,8544,38641
1,892177421306343426,6285,33118
2,891815181378084864,4162,24932
3,891689557279858688,8664,42028
4,891327558926688256,9423,40183
5,891087950875897856,3117,20148
6,890971913173991426,2076,11807
7,890729181411237888,18938,65280
8,890609185150312448,4277,27696
9,890240255349198849,7436,31835
10,890006608113172480,7355,30567
11,889880896479866881,4981,27688
12,889665388333682689,10085,47940
13,889638837579907072,4555,27089
14,889531135344209921,2241,15046
15,889278841981685760,5430,25203
16,888917238123831296,4507,28982
17,888804989199671297,4356,25492
18,888554962724278272,3590,19830
19,888078434458587136,3502,21689
20,887705289381826560,5406,30079
21,887517139158093824,11697,46074
22,887473957103951883,18264,68864
23,887343217045368832,10425,33559
24,887101392804085760,5975,30435
25,886983233522544640,7797,35034
26,886736880519319552,3303,12022
27,886680336477933568,4479,22331
28,886366144734445568,3203,21118
29,886267009285017600,4,116
30,886258384151887873,6297,27878
31,886054160059072513,104,0
32,885984800019947520,6830,32593
33,885528943205470208,6445,35865
34,885518971528720385,3768,20347
35,885311592912609280,18612,0
36,885167619883638784,4393,21877
37,884925521741709313,18486,77214
38,884876753390489601,5797,27833
39,884562892145688576,4873,24216
40,884441805382717440,5654,26891
41,884247878851493888,20471,72747
42,884162670584377345,2989,20314
43,883838122936631299,3445,21828
44,883482846933004288,9967,45796
45,883360690899218434,3681,22491
46,883117836046086144,6678,37095
47,882992080364220416,3920,23870
48,882762694511734784,4927,28223
49,882627270321602560,6098,27806
50,882268110199369728,11613,44832
51,882045870035918850,4990,29253
52,881906580714921986,3402,24226
53,881666595344535552,10695,50401
54,881633300179243008,7,128
55,881536004380872706,16014,49285
56,881268444196462592,5171,22994
57,880935762899988482,2785,16955
58,880872448815771648,3831,21223
59,880465832366813184,6295,28425
60,880221127280381952,4244,26991
61,880095782870896641,4369,27540
62,879862464715927552,3504,22250
63,879674319642796034,10,311
64,879492040517615616,3193,23338
65,879415818425184262,44270,105574
66,879376492567855104,3129,16719
67,879130579576475649,6865,0
68,879050749262655488,4731,22512
69,879008229531029506,2701,18912
70,878776093423087618,4149,19360
71,878604707211726852,7250,30183
72,878404777348136964,1300,0
73,878316110768087041,6680,0
74,878281511006478336,1300,7736
75,878057613040115712,6865,41926
76,877736472329191424,19210,79641
77,877611172832227328,81,0
78,877556246731214848,3835,22696
79,877316821321428993,5192,27302
80,877201837425926144,5622,27070
81,876838120628539392,3372,20615
82,876537666061221889,4637,23393
83,876484053909872640,2410,18722
84,876120275196170240,4711,27851
85,875747767867523072,4316,25145
86,875144289856114688,4953,21871
87,875097192612077568,6074,27372
88,875021211251597312,4747,25439
89,874680097055178752,4684,27796
90,874434818259525634,14872,0
91,874296783580663808,4139,26039
92,874057562936811520,3980,22627
93,874012996292530176,10548,34651
94,873580283840344065,3977,24228
95,873337748698140672,1601,0
96,873213775632977920,1601,7243
97,872967104147763200,5456,27386
98,872820683541237760,3723,14728
99,872668790621863937,28,0
100,872620804844003328,3745,20795
101,872486979161796608,9097,40730
102,872261713294495745,6401,34272
103,872122724285648897,8219,34504
104,871879754684805121,11348,38131
105,871762521631449091,3518,20300
106,871515927908634625,3499,20253
107,871166179821445120,5772,0
108,871102520638267392,5576,20985
109,871032628920680449,3858,22724
110,870804317367881728,6311,33768
111,870726314365509632,3,120
112,870656317836468226,2685,12479
113,870374049280663552,26659,83052
114,870308999962521604,4225,21931
115,870063196459192321,8510,36896
116,869772420881756160,10236,42650
117,869702957897576449,6446,28427
118,869596645499047938,3195,16090
119,869227993411051520,3862,20594
120,868880397819494401,14836,66188
121,868639477480148993,2145,0
122,868622495443632128,5901,27466
123,868552278524837888,2145,10255
124,867900495410671616,4274,24407
125,867774946302451713,7512,34359
126,867421006826221569,2579,16322
127,867072653475098625,130,0
128,867051520902168576,8074,32630
129,866720684873056260,4958,20337
130,866686824827068416,3583,19582
131,866450705531457537,36206,123887
132,866334964761202691,14872,53325
133,866094527597207552,8621,0
134,865718153858494464,5766,25956
135,865359393868664832,5146,26855
136,865006731092295680,7905,28424
137,864873206498414592,8994,32818
138,864279568663928832,3137,14852
139,864197398364647424,9239,30660
140,863907417377173506,4272,20957
141,863553081350529029,4305,15555
142,863471782782697472,2556,0
143,863432100342583297,5445,24224
144,863427515083354112,99,2298
145,863079547188785154,1136,8919
146,863062471531167744,2556,8688
147,862831371563274240,5260,19544
148,862722525377298433,3658,17395
149,862457590147678208,5138,20935
150,862096992088072192,24155,76052
151,861383897657036800,11091,36787
152,861288531465048066,4323,17532
153,861005113778896900,3949,17074
154,860981674716409858,2247,0
155,860924035999428608,848,0
156,860563773140209665,2247,7667
157,860524505164394496,5474,24127
158,860276583193509888,3615,18707
159,860184849394610176,6064,17050
160,860177593139703809,32160,0
161,859924526012018688,4262,19968
162,859851578198683649,3640,15754
163,859607811541651456,1638,19018
164,859196978902773760,31518,92071
165,859074603037188101,14180,34710
166,858860390427611136,8484,0
167,858843525470990336,3622,15914
168,858471635011153920,5052,22058
169,858107933456039936,3037,16134
170,857989990357356544,2700,16525
171,857746408056729600,11095,35163
172,857393404942143489,1711,6080
173,857263160327368704,4736,20559
174,857214891891077121,20,236
175,857062103051644929,178,0
176,857029823797047296,4188,19449
177,856602993587888130,11215,0
178,856543823941562368,3021,16735
179,856526610513747968,1973,12160
180,856330835276025856,712,0
181,856288084350160898,17,531
182,856282028240666624,6640,28494
183,855862651834028034,28,359
184,855860136149123072,1091,5158
185,855857698524602368,2230,12191
186,855851453814013952,18620,46800
187,855818117272018944,5740,27405
188,855459453768019968,8674,30898
189,855245323840757760,6305,0
190,855138241867124737,48,0
191,854732716440526848,6455,23621
192,854482394044301312,7278,30340
193,854365224396361728,4971,19569
194,854120357044912130,7948,33109
195,854010172552949760,3339,16776
196,853760880890318849,6148,29677
197,853639147608842240,10779,36233
198,853299958564483072,3786,16136
199,852936405516943360,2156,0
200,852912242202992640,1961,9405
201,852672615818899456,2288,15534
202,852553447878664193,3748,17054
203,852311364735569921,10556,34521
204,852226086759018497,7276,20854
205,852189679701164033,1684,11941
206,851953902622658560,10307,0
207,851861385021730816,23,0
208,851591660324737024,3704,16903
209,851464819735769094,7567,25351
210,851224888060895234,6129,21589
211,850753642995093505,9952,32451
212,850380195714523136,2796,13655
213,850333567704068097,357,3578
214,850145622816686080,4099,17081
215,850019790995546112,5254,21428
216,849776966551130114,8166,31906
217,849668094696017920,5328,0
218,849412302885593088,3371,16629
219,849336543269576704,2035,11979
220,849051919805034497,9169,44534
221,848690551926992896,4643,26454
222,848324959059550208,4951,25982
223,848213670039564288,807,8582
224,848212111729840128,3322,17151
225,847978865427394560,3509,0
226,847971574464610304,463,0
227,847962785489326080,5516,24691
228,847842811428974592,1451,5765
229,847617282490613760,454,7370
230,847606175596138505,3650,19717
231,847251039262605312,4625,21481
232,847157206088847362,6318,21029
233,847116187444137987,3439,22545
234,846874817362120707,4235,21139
235,846514051647705089,12549,47093
236,846505985330044928,3349,14925
237,846153765933735936,9799,33450
238,846139713627017216,10646,32526
239,846042936437604353,3119,16851
240,845812042753855489,9461,30912
241,845677943972139009,5179,26492
242,845397057150107648,1971,8041
243,845306882940190720,5842,24624
244,845098359547420673,8310,0
245,844979544864018432,2809,14402
246,844973813909606400,3485,15978
247,844704788403113984,11215,40914
248,844580511645339650,3409,17400
249,844223788422217728,2378,14399
250,843981021012017153,3171,15962
251,843856843873095681,5012,22627
252,843604394117681152,2978,17863
253,843235543001513987,6579,22731
254,842846295480000512,3895,16103
255,842765311967449089,1386,7145
256,842535590457499648,3804,19157
257,842163532590374912,6305,25931
258,842115215311396866,3283,14852
259,841833993020538882,16746,0
260,841680585030541313,8431,27164
261,841439858740625411,3996,13400
262,841320156043304961,5907,20939
263,841314665196081154,5123,16842
264,841077006473256960,5772,24308
265,840761248237133825,1916,0
266,840728873075638272,17677,0
267,840698636975636481,3,192
268,840696689258311684,1078,13054
269,840632337062862849,1916,9529
270,840370681858686976,4967,17473
271,840268004936019968,6249,20463
272,839990271299457024,2509,14261
273,839549326359670784,8484,29234
274,839290600511926273,155,0
275,839239871831150596,7164,28911
276,838952994649550848,4349,20851
277,838921590096166913,2266,11880
278,838916489579200512,37,0
279,838831947270979586,12115,0
280,838561493054533637,1448,11598
281,838476387338051585,5268,24059
282,838201503651401729,11069,0
283,838150277551247360,358,1787
284,838085839343206401,0,149
285,838083903487373313,3445,18762
286,837820167694528512,8621,36397
287,837482249356513284,485,4082
288,837471256429613056,2531,13626
289,837366284874571778,5798,22505
290,837110210464448512,2623,17049
291,836989968035819520,2510,13558
292,836753516572119041,5056,20489
293,836677758902222849,2435,13433
294,836648853927522308,607,0
295,836397794269200385,30244,0
296,836380477523124226,3227,15694
297,836260088725786625,4695,22663
298,836001077879255040,4711,20372
299,835685285446955009,8975,0
300,835574547218894849,3976,18972
301,835536468978302976,1867,0
302,835309094223372289,23089,0
303,835297930240217089,3281,17477
304,835264098648616962,1867,8284
305,835246439529840640,80,2225
306,835172783151792128,6303,27869
307,835152434251116546,3324,23961
308,834931633769889797,1812,11564
309,834786237630337024,5993,22525
310,834574053763584002,2788,14625
311,834477809192075265,11722,0
312,834458053273591808,1837,10265
313,834209720923721728,5272,22005
314,834167344700198914,3991,16817
315,834089966724603904,2342,10727
316,834086379323871233,2429,13938
317,833863086058651648,2647,14318
318,833826103416520705,3778,16372
319,833732339549220864,239,0
320,833722901757046785,3523,22065
321,833479644947025920,2270,15889
322,833124694597443584,5328,21594
323,832998151111966721,2437,14231
324,832769181346996225,41,0
325,832757312314028032,3983,17979
326,832682457690300417,3230,12701
327,832645525019123713,573,3122
328,832636094638288896,3076,16959
329,832397543355072512,2458,12781
330,832369877331693569,3509,18340
331,832273440279240704,2570,12095
332,832215909146226688,6821,0
333,832215726631055365,10333,0
334,832088576586297345,2,71
335,832040443403784192,10721,0
336,832032802820481025,5138,19123
337,831939777352105988,6774,25682
338,831926988323639298,36,364
339,831911600680497154,7194,29589
340,831670449226514432,1999,11182
341,831650051525054464,2156,7684
342,831552930092285952,2535,9644
343,831322785565769729,1679,9814
344,831315979191906304,1230,6970
345,831309418084069378,2685,12537
346,831262627380748289,2265,12762
347,830956169170665475,1658,8543
348,830583320585068544,18612,71669
349,830173239259324417,6304,0
350,830097400375152640,3333,10522
351,829878982036299777,5547,0
352,829861396166877184,2170,13124
353,829501995190984704,11722,34012
354,829449946868879360,2247,11219
355,829374341691346946,10307,37147
356,829141528400556032,8205,26302
357,829011960981237760,17940,56828
358,828801551087042563,3754,0
359,828770345708580865,6502,27416
360,828708714936930305,12402,39253
361,828650029636317184,1488,10203
362,828409743546925057,1272,6731
363,828408677031882754,1413,8188
364,828381636999917570,2459,13537
365,828376505180889089,1178,7927
366,828372645993398273,3242,13442
367,828361771580813312,189,2349
368,828046555563323392,3165,12627
369,828011680017821696,2370,11125
370,827933404142436356,5778,21626
371,827653905312006145,3323,16586
372,827600520311402496,1047,7961
373,827324948884643840,3390,17061
374,827199976799354881,2482,11358
375,826958653328592898,5547,23219
376,826848821049180160,11369,39249
377,826615380357632002,4363,0
378,826598799820865537,281,5501
379,826598365270007810,2596,10824
380,826476773533745153,4648,19797
381,826240494070030336,2871,14261
382,826204788643753985,1038,5238
383,826115272272650244,3473,16858
384,825876512159186944,2068,11254
385,825829644528148480,2758,13702
386,825535076884762624,19088,55985
387,825147591692263424,5071,19689
388,825120256414846976,1431,0
389,825026590719483904,1431,6841
390,824796380199809024,6090,0
391,824775126675836928,3918,16113
392,824663926340194305,1930,10842
393,824325613288833024,11527,12675
394,824297048279236611,4290,16187
395,824025158776213504,655,5143
396,823939628516474880,3012,11484
397,823719002937630720,12497,0
398,823699002998870016,2682,13545
399,823581115634085888,2945,14048
400,823333489516937216,29,753
401,823322678127919110,4472,16969
402,823269594223824897,10962,0
403,822975315408461824,3822,18659
404,822872901745569793,48858,142749
405,822859134160621569,2538,14231
406,822647212903690241,7125,0
407,822610361945911296,3295,15924
408,822489057087389700,7125,19574
409,822462944365645825,16399,30819
410,822244816520155136,10962,37830
411,822163064745328640,5358,0
412,821886076407029760,2610,12264
413,821813639212650496,3721,0
414,821765923262631936,1852,9098
415,821522889702862852,1965,8644
416,821421320206483457,6228,0
417,821407182352777218,4854,12718
418,821153421864615936,10,276
419,821149554670182400,2245,9430
420,821107785811234820,2374,10376
421,821044531881721856,2550,13653
422,820837357901512704,7452,0
423,820749716845686786,11069,34101
424,820690176645140481,3587,13184
425,820494788566847489,633,0
426,820446719150292993,2875,0
427,820314633777061888,633,3601
428,820078625395449857,6997,21387
429,820013781606658049,1320,0
430,819952236453363712,1320,5753
431,819924195358416896,5399,13904
432,819711362133872643,3495,14541
433,819588359383371776,2196,10332
434,819347104292290561,1339,7805
435,819238181065359361,450,2478
436,819227688460238848,7452,24983
437,819015337530290176,40848,0
438,819015331746349057,21065,0
439,819006400881917954,21065,48761
440,819004803107983360,40848,93335
441,818646164899774465,23255,0
442,818627210458333184,8312,24013
443,818614493328580609,2881,10668
444,818588835076603904,6860,0
445,818536468981415936,2766,11815
446,818307523543449600,9061,0
447,818259473185828864,2545,11927
448,818145370475810820,2898,13302
449,817908911860748288,882,5229
450,817827839487737858,30244,56168
451,817777686764523521,2976,11572
452,817536400337801217,3388,12766
453,817502432452313088,3794,0
454,817423860136083457,16746,37101
455,817415592588222464,1076,6089
456,817181837579653120,9515,0
457,817171292965273600,2243,9440
458,817120970343411712,2924,13147
459,817056546584727552,1845,9269
460,816829038950027264,5274,0
461,816816676327063552,2276,10811
462,816697700272001025,2454,10614
463,816450570814898180,9061,33111
464,816336735214911488,2182,9317
465,816091915477250048,2404,9663
466,816062466425819140,1171,0
467,816014286006976512,5940,0
468,815990720817401858,1171,5409
469,815966073409433600,9515,24344
470,815745968457060357,4618,0
471,815736392542261248,2535,10659
472,815639385530101762,1839,8916
473,815390420867969024,4253,11200
474,814986499976527872,1444,8278
475,814638523311648768,3031,12230
476,814578408554463233,6510,0
477,814530161257443328,2069,9391
478,814153002265309185,9730,31164
479,813944609378369540,3605,0
480,813910438903693312,2105,10066
481,813812741911748608,15685,39399
482,813800681631023104,1971,9053
483,813217897535406080,8152,20286
484,813202720496779264,2014,9951
485,813187593374461952,4890,21518
486,813172488309972993,2152,10127
487,813157409116065792,2479,8410
488,813142292504645637,2640,9126
489,813130366689148928,495,4845
490,813127251579564032,3501,12877
491,813112105746448384,3086,11209
492,813096984823349248,4043,11417
493,813081950185472002,3102,10716
494,813066809284972545,2175,8621
495,813051746834595840,8202,22736
496,812781120811126785,2137,8208
497,812747805718642688,7788,0
498,812709060537683968,1606,7190
499,812503143955202048,1373,6600
500,812466873996607488,2158,8684
501,812372279581671427,4107,14860
502,811985624773361665,1578,7886
503,811744202451197953,1805,8197
504,811647686436880384,830,6054
505,811627233043480576,3512,13908
506,811386762094317568,7174,22702
507,810984652412424192,1603,5791
508,810896069567610880,2002,9825
509,810657578271330305,2955,11909
