,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,jpg_url,predicted_breed
0,892420643555336193,2017-08-01 16:23:56 +0000,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13,10,Phineas,8544,38641,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,welsh springer spaniel
1,892177421306343426,2017-08-01 00:17:27 +0000,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13,10,Tilly,6285,33118,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone
2,891815181378084864,2017-07-31 00:18:03 +0000,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12,10,Archie,4162,24932,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,german shepherd
3,891689557279858688,2017-07-30 15:58:51 +0000,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13,10,Darla,8664,42028,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,rhodesian ridgeback
4,891327558926688256,2017-07-29 16:00:24 +0000,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12,10,Franklin,9423,40183,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature pinscher
7,890240255349198849,2017-07-26 15:59:51 +0000,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14,10,Cassie,7436,31835,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature poodle
8,890006608113172480,2017-07-26 00:31:25 +0000,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13,10,Koda,7355,30567,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden retriever
9,889880896479866881,2017-07-25 16:11:53 +0000,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13,10,Bruno,4981,27688,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,gordon setter
11,889638837579907072,2017-07-25 00:10:02 +0000,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12,10,Ted,4555,27089,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug
12,889531135344209921,2017-07-24 17:02:04 +0000,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13,10,Stuart,2241,15046,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound
13,889278841981685760,2017-07-24 00:19:32 +0000,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13,10,Oliver,5430,25203,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,lhasa
14,888917238123831296,2017-07-23 00:22:39 +0000,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12,10,Jim,4507,28982,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,english setter
15,888078434458587136,2017-07-20 16:49:33 +0000,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,12,10,Gerald,3502,21689,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,italian greyhound
16,887705289381826560,2017-07-19 16:06:48 +0000,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,13,10,Jeffrey,5406,30079,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,maltese dog
17,887473957103951883,2017-07-19 00:47:34 +0000,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,13,10,Canela,18264,68864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,ox
20,886736880519319552,2017-07-16 23:58:41 +0000,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",13,10,Mingus,3303,12022,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,soft-coated wheaten terrier
21,886680336477933568,2017-07-16 20:14:00 +0000,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal,13,10,Derek,4479,22331,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,chihuahua
22,886366144734445568,2017-07-15 23:25:31 +0000,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,12,10,Roscoe,3203,21118,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,black-and-tan coonhound
23,886258384151887873,2017-07-15 16:17:19 +0000,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles,13,10,Waffles,6297,27878,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,toy terrier
24,885984800019947520,2017-07-14 22:10:11 +0000,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution,12,10,Jimbo,6830,32593,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,pembroke
27,884925521741709313,2017-07-12 00:01:00 +0000,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl",12,10,Earl,18486,77214,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,dalmatian
28,884876753390489601,2017-07-11 20:47:12 +0000,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola,13,10,Lola,5797,27833,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,ibizan hound
